GMT-101 Elementary Mineralogy,Wait For Update
GMT -102 Elementary Petrology,Wait For Update
GMT-103 Physical Geology,Wait For Update
GMT -104 Geomorphology,Wait For Update
GMT-105 Elementary Structural Geology,Wait For Update
GMT-106 Historical Geology,Wait For Update
GMT-107 History of the Emergence of Bangladesh,Wait For Update
MTR-108 Calculus I,Wait For Update
PHR-109 Physics I,Wait For Update
CHR-110 Fundamentals of Chemistry,Wait For Update
LAB,Wait For Update
LAB,Wait For Update
LAB,Wait For Update
LAB,Wait For Update
Field Geology,Wait For Update
Viva,
